iPhone X	64GB	Space Gray	Client d'Amazon	5	UNBEATABLE PRICE	2018-09-08	fr	Nothing to report this iPhone X is very real and true! Its price can be puzzling but no I assure you it's a brand new original, I received it after 3 days with the delivery bonus, mandatory signature so perfect! By cons as said in previous comments, the phone box is just in a box without bubble wrap ... Anyway I'm too happy with this case, unbeatable price! I recommend :)	1
iPhone XR	64GB	Black	Amazon Kunde	5	Great phone	2018-12-06	de	Everything is wonderful!	1
iPhone XR	128GB	Yellow	Dhar	5	Very good iPhone. Good battery!	2019-03-09	fr	I went from an iPhone 6 to this one. In other words, the update is noticeable. Despite the high price, I am delighted with my purchase. The quality of the screen, the performances and the identification by FaceID are top. And most of all, I love its yellow firecracker color! The most impressive difference is the capacity of the battery. In general, I use my phone a lot during the day, especially when traveling pro (web, emails, gps, miscellaneous apps, etc.) from morning to evening. While I had to charge my iPhone 6 several times a day (~ 3 or 4 times), I usually finish the day with 30 to 40% remaining battery with iPhone XR. Very satisfied.	1
iPhone 7	32GB	Black	Frank Faison II	5	Great deal!	2018-07-19	us	Thank you, I love the phone and it works very well. 👍👍	1
iPhone 7	256GB	Black	Dale Edward	4	"Do you really need 256GB when 128 is way big enough at over £150,00 less."	2016-10-04	uk	This phone is not just a phone, but for many it is a status symbol, telling others not only can I afford this new device but that I am technically savvy and keeping up with the Apple bandwagon of new devices in a fast moving technical field.To be honest, there is very little change in the appearance to the new iPhone 7 compared to its predecessor, however, that’s not the point as it is exactly what the Apple enthusiast would expect in that it is a visual attractive, powerful, reliable and efficient device with some internal upgrades that will help apps to work faster and additional obvious enhancements that will satisfy the customers desire to purchase one.So what is new and why did I get one?Memory size:  The 128GB seems to be the best and most popular option with best value for money, as it is sufficient to carry all your apps, additional memory needs and other normal things that you need to access.  The 256GB is just a ridiculous luxury and waste of money as there are very few users that could fill that size of memory, so save yourself over £150,00 and get the 128GB its just right.Design:  The design has not changed much in that the body and screen sizes are virtually the same as the iPhone 6 and it still has round edges and a nice feel in the hand.  There is still a protruding camera lens on the rear that some users might find irritating as this takes away a flush finish on the rear of the device.External Sound:  This has been greatly improved by the introduction of dual speakers positioned at the top and bottom of the device.  This has improved the sound quality immensely, which now produces decent stereo sound, great for listening to music or watching a movie without an earpiece.Headphone Jack:  This has been removed and replaced with a lightning port, but why is the question; simple answer is that it has released space for internal upgrades by removing the old out of date 3.5mm input.  This could be a big game changer for people who have bought expensive earphones that come with the 3.5mm headphone jack capability only.  However, you get an adaptor with the iPhone 7 that allows the 3.5mm jack to insert into the lightning port and the iPhone 7 does come with a pair of lightning port compatible ear buds.  They are actually really good and this new system is good, as Apple has decided to take a bold step, embracing change for the better and the future in design and innovation of smart phones.Bluetooth:  This has been enhanced with the addition of Apples own Proprietary wireless standard, which is so simple to use, where items such as the Apple AirPods (wireless ear phones) connect automatically when the AirPods are placed next to the iPhone.  These are brilliant as they are based on new tech where they pause music automatically when you remove one from your ear and they automatically switch from iPhone to iPad, or Apple watch.  You can buy the ear AirPods separately for 1,59 pounds and they are brilliant.Water resistant:  I must admit I did have great fun taking pictures of my son diving into a pool on holiday once with a waterproof phone.  The expression on his face as he entered the water was captured from under the water, which added a new dimension to our holiday snaps.  Therefore it is a great feature if you are next to the pool or sea on holiday, or if you just want to watch films in the bath.  On a more serious note, I have had a phone that accidently got wet and was ruined and therefore even if it is only protection for such a valuable and essential item then it is worth having the waterproof capability.Battery life:  Apple claim that the battery life has been increased from its predecessor to an extra 2 hours in normal use.  However, this is something that each user and the type of use with the device will no doubt determine.Camera: The rear camera still protrudes from the body however; you now get a dual lens main camera combining a wide angle lens and telephoto lens with much better low light capability, richer snaps and a faster shutter speed.  The front camera has also been increased to 7MP.Minor changes:  The home button now vibrates under your finger rather than clicking all the way in and the finger print recognition requires more pressure than previous iPhones.  To be honest this is just a slightly different feel for both functions but nothing to jump up and down about.Screen resolution:  The screen resolution and appearance doesn’t appear to be any different even if there have been internal upgrades to 1080 resolution and to be honest Apple are still way behind Samsung with their OHD resolution.Overall there is not a great deal of change especially to the appearance of the new iPhone 7, but with the internal upgrades and minor enhancements that they have made it is enough to get any Apple enthusiast excited.	1
iPhone 8	64GB	Gray	gianni sirianni	5	If the guarantee is European	2018-12-17	it	At first I was skeptical, but everything went well .... reliable seller.	1
iPhone XR	64GB	Blue	TadeA	5	This is a good color	2019-02-02	uk	Great size.	1
iPhone XR	128GB	Red	Patoche	5	Too expensive Apple's margins ...	2019-03-03	fr	Great improvement in battery life. I hope at least that they 'pay taxes in France ...	1
iPhone 6S	16GB	Space Gray	Patrick	5	An expensive but one of the best smartphones on the market!	2015-10-24	de	I have to admit, I was very skeptical about the iPhone 6S, but it really took my breath away. The workmanship is impeccable: - The display is bright, colorful, very rich in contrast and has a sharp white value. as well as the glass of the display is very hard, stable and the price very reasonable- The camera takes sharp photos ... and now the points that were very important to me and where I had my doubts. It said: The battery is weak and there is there still this thing with the processor ... The A9 is a sharp processor! It runs with 2GB of RAM and is a real machine! The interaction between IOS and the hardware is just perfect! The battery life is awesome! I am very pleasantly surprised at how economical the processor works and now comes the big hit: It was in many forums and websites, the Apple A9 at Samsung in 14nm and TSMC in 16nm make. The processor of TMSC (according to extreme tests on YouTube and co.), Although, according to paper, the Samsung should be more economical, be more economical and be cooler under load.It has been very annoyed to the next, what Apple has probably thought? I found out about a test app that is in my device the A9 from Samsung and I'm very satisfied with it. I can tell you, it's jacket like pants, which of the two chips is in your iPhone, even if some extreme tests are done and then they are released and cause some discussion again. I think that also has to do with the interaction with the software. Yes, maybe the TSMC is currently more economical by 2-3%, but the chip from Samsung is a big advancement and I think the tide will turn soon;) The whole device is just great and worth the money, of course. ..740 euros are already a lot of money and you get for less already a top smartphone, but everyone must decide for themselves. I think this device is currently the best in compactness, performance and workmanship that you can get on the market.	1
iPhone XS Max	64GB	Gold	Sonia	5	Mobile phone iPhone XS Max	2018-11-08	it	Arrived punctually bellissimoooo	1
iPhone 7	32GB	Rose Gold	R. Cashmore	5	I love it! No probs so far with delivery or ...	2018-02-22	uk	I love it!No probs so far with delivery or phone.,	1
iPhone X	64GB	Space Grey	Helicotrema	5	"iPhoneX, at good price - love it."	2018-07-10	uk	It's an iPhoneX, at good price - love it.	1
iPhone 8	64GB	Gray	Enzo	5	Excellent i ... entry	2018-12-25	it	iphone is always a great choice, versatile and complete; in the case of the SE model also compact and handy. I use it mainly for phone calls and / or watsapp, but it's also convenient for the internet. great product! super recommended. With Amazon all o.k.	1
iPhone 8	64GB	Space Gray	Toni Lippe	5	Yes finally an iPhone	2018-06-03	de	I was very skeptical, why is the iPhone so cheap, but I was surprised Super device for a fair price! Everything original packed. Including charging cable and original headphones! Would I buy here again and save money!	1
iPhone 8	64GB	Argent 	Laurent	5	New and not reconditioned for the price	2017-12-25	fr	A good economy on the price compared to the Apple site. I read the ad to verify that it was not a refurbished phone. And it is a new as indicated in original packaging.	1
iPhone 8 Plus	64GB	Space Gray	mickey	5	perfect	2018-10-16	fr	perfect	1
iPhone 8	64GB	Gold	Ange ch	5	Perfect	2018-11-30	fr	Item compliant and received within the specified times	1
iPhone X	256GB	Argent 	Chakalaka	5	Apple lovers	2018-04-09	de	Mega good IPhone, beautiful design (ordered in silver / white) reminds a little of the iPhone 4 from behind. At the notch and that there is no homebottom, you get used pretty fast. Of course, the price is exaggerated, but for Appleliebhaber I can only recommend it anyway.	1
iPhone 7	256GB	Gold	Kevin wale	5	Five Stars	2018-03-14	uk	Brilliant as usual first class product love it	1
iPhone 8	64GB	Silver / White	Michelangelo	5	All right	2019-07-02	it	All very beautiful	1
iPhone 7 Plus	32GB	Black	CBL-404370  Jorge Gutierrez	5	Five Stars	2018-07-15	us	excelente	1
iPhone 8 Plus	64GB	Space Grey	Andy Mc	5	Sleeker than ever	2018-01-29	uk	If you have owned I iPhone before you know exactly what you are getting. Easy to use with plenty of features and great looks. Might I add that the new glass back makes this phone look sleeker than ever	1
iPhone XS	64GB	Argent 	Fabian	4	No revolution but solid	2018-12-24	de	As described ... Solid performance from California without setting new standards	1
iPhone 7 Plus	32GB	Gold	Bobby	5	From android to iOS	2017-11-13	de	I switched from a good android phone to the iPhone 7 Plus and I have to say that it is really great I miss nothing and it is super fast the camera is really great. The battery lasts 2 days with me I'm very satisfied .........	1
iPhone 8	64GB	Gold	FOTO ALBERTO GIUSTI & C. S.N.C.	4	great	2019-01-10	it	all right	1
iPhone XR	128GB	Black	Gillian	5	Well	2019-05-31	fr	Well	1
iPhone 7	32GB	Black	JB	5	Nothing to complain about, a quality smartphone	2017-12-13	fr	No problem since the months I use it! My first Apple notebook, and he does admit this smartphone to a great stability! Especially when you're used to low-end laptops	1
iPhone X	256GB	Argent	Aniella	5	Perfect	2018-10-25	fr	Delighted with my purchase. I was waiting for the release of the new iPhones of 2018 (Xs, Xs Max and Xr) to buy the X and am happy to have found it cheaper here than in store. Authentic and new product, blistered. The shipment was fast and properly secure (signature at the delivery of the package) but for an item at this price, it would have been better if the cardboard was filled with bubble wrap to prevent the box of the iPhone is going around in. Other than that, nothing to complain about. I highly recommend !	1
iPhone X	64GB	Argent 	Nicola83	4	Great product ... but is it worth it?	2019-02-12	it	A very valid iPhone for all its features, excellent color display with excellent camera and excellent hardware, fast and reliable ... improved battery! Now the price has dropped considerably given the release of the iPhone XS, XSmax and XR .. but what is worth buying.! Given that they are all excellent phones and do not disappoint, to save a little you could opt for the Purchase of the iPhone X but without underestimating the possible purchase of a new iPhone XR that comes at a similar price but with features in some respects improved some of these are the hardware and the battery.!	1
iPhone 7	32GB	Black	Carole	5	satisfied	2018-10-10	fr	iPhone received quickly, very good quality. No problem until now after 3 months of use	1
iPhone 7 Plus	32GB	Black	Andres	5	Five Stars	2018-01-04	us	Awesome. The phone works perfect and is in excellent conditions.	1
iPhone X	64GB	Argent 	Fabiocima	5	Satisfied	2018-12-05	it	Everything according to expectations. Telephone in perfect order, a little disappointed with shipping times, 7 days for delivery, without seeing traceability. But the phone is ok	1
iPhone 7	32GB	Matt Black	salvatore mancino	5	Apple e apple!	2017-07-09	it	Inside the box we find a 1A output charger, a USB / Lightning cable, an EarPods headset with Lightning connector and an adapter to use headphones with 3.5mm audio jack ... The design is very similar to that of the iPhone 6 with the exception of the ear capsule, which is larger to also accommodate the second system speaker. The camera is slightly shifted to the left and is now 7 megapixel with stabilization .. The side keys are a little less embedded in the body and the SIM drawer it has a small gasket to protect it from water and dust. The aesthetic differences are more noticeable on the lower part where the 3.5mm audio jack disappears to make room for a mostly aesthetic grid where the main microphone is positioned. The main speaker and the Lightning port remain in place ... Aesthetic novelties also on the back. The separation bands of the antennas have been partially eliminated and the camera has a softer design, protected by a part of the shell. It also improves the flash which is now a Dual Tone 4 LED..iPhone 7 is resistant to water and dust with IP67 certification even if the damages from liquids are not covered by warranty. To offer better resistance, Apple has also redesigned the home button which now it is no longer clickable as usual but is able to recognize finger pressure by offering tactile feedback that we can customize by choosing between three different intensity levels. The button is capacitive and cannot be clicked with objects or if we wear gloves. ... summarizing is a good product and I recommend you will not regret the purchase.	1
iPhone 8	64GB	Gold	Chris Er	5	Iphone 8	2019-02-04	de	Top quality + fast shipping	1
iPhone 7	32GB	Rose Gold	Marko	5	Quick delivery	2018-11-22	de	I bought for my girlfriend. Nice girls color.Quick delivery	1
iPhone XR	64GB	Red	Der Mike	5		2019-02-17	de	The fastest processor on the market, a camera that can shoot 4K in 60 fps and take super sharp photos. Quality, price / performance is currently the best in the market	1
iPhone X	64GB	Argent 	Cliente Amazon	5	iPhone x	2019-07-14	it	Arrived on time perfect iPhone	1
iPhone XR	128GB	Red	Sabrina	5	Perfect !	2019-03-24	fr	For now, I'm happy with my new iPhone. Autonomy really great, facial recognition perfect ... And the color red is very beautiful.	1
iPhone 8	64GB	Space Gray	Senior Casa	5	Very good smartphone	2018-05-12	de	You can complain about Apple as you like, but I've been a fan for a very long time, because everything just works as it should and without 100 unnecessary uninstallable apps!	1
iPhone XR	128GB	Red	Ulla	5	very satisfied	2019-04-25	de	Do not understand the negative reviews, I am very satisfied!	1
iPhone X	64GB	Argent 	TOPGUN	5	Apple typical	2019-02-08	de	Have the cell phone before Christmas still on time. Mobile phone arrived in orginal packaging! Top quality! Apple typical!	1
iPhone 8	64GB	Gold	Pia	5	Very good mobile	2019-01-04	de	Had the iPhone 6s for a long time and decided after 2 1/2 years for a new phone and it has become the iPhone 8 and I am very excited about the phone. Both the battery power and the camera are very good. Also, Iduktive loading I find very convenient and use it gladly	1
iPhone XS Max	64GB	Space Gray	Genevieve Machado	5	Very satisfied	2019-02-09	fr	Superb laptop, new arrival, with all accessories. Long battery life (12h at least if working with laptop), super quality pictures, portraits in both cameras	1
iPhone XS	256GB	Gold	Amelie	5	Very well	2018-12-28	fr	Product according to the description, fast delivery. Be blister. Nothing to say	1
iPhone XS Max	64GB	Space Gray	jeanclaudedepienne	5	iphone XS Max	2019-03-03	fr	I bought mine at orange I am fully satisfied with my purchase, I put a Spigen protection and beautiful thing is that I can always recharge without a line, I love it, it holds the load compared to my old iphone 7 more than I had before, and facial recognition is amazing, I recommend it.	1
iPhone XR	64GB	Black	Alexander	5	Great smartphone, only to be recommended	2019-01-06	de	I bought this smartphone for Christmas, because I've wanted one for a long time. It was about 80 ¬ cheaper than Apple, which is why I struck. The iPhone came 7 days earlier than predicted and it came in perfect original package. The camera is similar, as with the X, but one sees differences. With 64GB you are completely equipped, as these are totally sufficient. The iPhone is for all savers just a recommendation, as it is not really worse than the X and even bigger.	1
iPhone 7	32GB	Matt Black	Cliente Amazon	4	Restyling iPhone 6s	2017-01-25	it	Design unchanged from iPhone 6s. However the processor is faster. Ease of use with one hand. The price could be lower.	1
iPhone 7	32GB	Black	NAGUI M	5	Very good product iPhone 7	2018-03-20	fr	I bought this iPhone in November received very quickly and meets my expectations. Value for money very well, certainly it is one of the largest brands. I highly recommend.	1
iPhone 7	128GB	Black	Client d'Amazon	5	Good value for money	2019-02-02	fr	Very happy with this iPhone	1
iPhone 7	32GB	Black	Pinguinspuren	5	Great device	2017-06-06	de	What can I say, everything works as it should. Super fast, great OS (you have to like that of course - I personally am not that fan of Android) and chic design. The shipping was super fast and easy.	1
iPhone 7 Plus	32GB	Black	Eduardo Vazquez	5	Five Stars	2017-04-06	us	Great, new, arrived on time	1
iPhone XR	64GB	Red	Molnar	5	No problem arriving in 3 days	2018-12-24	fr	Nickel	1
iPhone X	64GB	Argent 	Abdul Kadir Deniz	5	iphone x	2018-12-31	de	Lierzeit was not as promised but with delay The cell phone has arrived flawlessly and works perfectly	1
iPhone X	64GB	Argent	Curtis	5	Perfect !	2018-06-03	fr	I recommend it for Apple products!	1
iPhone 8	64GB	Space Gray	Peschi	5	Everything works!	2018-12-18	de	I had a little doubt if that was good, what I did there. The iPhone 8 arrived perfectly and punctually. Everything works. SUPER!!!	1
iPhone 6S	32GB	Space Gray	Jonathan HAWATA	5	Perfect	2019-04-12	fr	The quality iPhone is more to prove. Perfect for my dad, who does not need the latest style.	1
iPhone XR	128GB	White	T.S	5	XR for me	2019-06-15	de	All the best, what more do you want for 800 euros Have the iPhone for 6 months in use and has proven itself well!	1
iPhone 7	32GB	Gold	Imre	4	Nice phone	2017-01-01	uk	Bought it as a Christmas present for my wife. Arrived in time and well packed- nothing to complain. The phone looks really nice and works perfectly! Still figuring it out. The reason I gave 4 stars is that my expectations were really high! Before my wife had an iphone 5 and we were expecting something more. There is not a big difference... Has quick respons, lovely colours and a few innovations. New and nice shape. It is really nice phone and works perfectly, maybe my expectations were to high!	1
iPhone XR	64GB	Black	Dennis	5	Hammer battery	2019-06-30	de	For years Samaung and Huawei had had. For a week I own the iPhone XR. What can I say? Performance, battery and the camera are just awesome. The pixel density I personally find much too low for a smartphone in 2019. But I do not mind. The 3D face recognition works without problems and is very fast. I can recommend the smartphone even if you have to do without some features such as the 3D Touch	1
iPhone XR	64GB	Black	Guenter Ruediger	5	Transition from IPhone 6 to XR easy	2019-06-16	de	The data was transferred from iPhone 6 to XR via Bluetooth. Also, the I-watch was easy to connect. Device was cheaper on Amazon than Apple. Activation by face recognition is convenient. Have my Iphone also used for online identification via Postident.	1
iPhone XS Max	64GB	Space Gray	Manuel Mothke	5	On time and reliable	2019-01-14	de	Arrived the same day in the evening as announced. Packaging, cell phone everything in top condition and works flawlessly.	1
iPhone XS	64GB	Silver	EagleEye	5	Perfect choice	2018-11-02	us	As expected	1
iPhone XS Max	64GB	Space Gray	Mickael	5	Perfect	2018-12-18	fr	I highly recommend ! I received it the next day from my commandele phone was brand new blister with A-moutain bill plus guarantee apple	1
iPhone 7	128GB	Matt Black	Cliente Amazon	5	Really satisfied	2016-11-30	it	Perfect product with fast shipping. Great service from the seller and phone with original packaging and all the accessories, as if I had bought it from Apple. I give 5 stars just because there are not more.	1
iPhone 6S Plus	32GB	Argent	Client d'Amazon	5	Sold Refurbished - Newly received!	2019-06-19	fr	I ordered the phone as a birthday present given the prices of new iphones more and more reserved for "elite". I chose to take as an Amazon seller because at least the warranty seems more serious than other sellers. Many comments said to have received a new iPhone, I told myself that the repackaging was identical to the new so to offer it would be great. So I let myself try. The received phone (iPhone 6s Plus 32GB sidereal gray) is actually new! I do not understand how it is possible but it is the case and I know about the iPhone for 8 years always bought new. Original blister, new accessories, 100% battery status. I recommend +++	1
iPhone 7	128GB	Black	Amazon Customer	5	The best smartphone I had	2019-01-19	fr	After camping Android for a long time with the flagship ASUS, I wanted to test an iPhone and I do not regret my choice.	1
iPhone X	64GB	Argent	Naguib Sefir	1	RANKS SCAMS RANKS	2018-09-04	fr	NEVER RECEIVED	1
iPhone X	64GB	Space Gray	sewanou abel	5	Super	2018-10-17	fr	Nothing to sayFrom Apple	1
iPhone X	64GB	Argent	Ferreira	5	iPhone x	2019-02-26	fr	Super product fast delivery arrived before presumed delivery date I recommend	1
iPhone 8	64GB	Gray	Paola	4	Ok	2018-12-10	it	Not recommended for old people who have vision problems or large fingers; otherwise, a good non-intrusive smartphone	1
iPhone 8	64GB	Space Gray	volox	5	A very good iPhone (but the battery could be better)	2018-01-13	de	Hello, I think I do not have to comment on the technical details, because there is enough information on the internet. Overall, I am very satisfied with the technique. If you have an iPhone that is not many years old, you do not have to buy the iPhone 8. For example, I had the iPhone 5c before and now I switched to the iPhone 8. This was definitely worth it. That design is great. Especially with the glass back. I bought the space gray model. Inductive charging works well. It only takes about half an hour longer for the device to be charged (estimated). I recommend everyone here to charge the iPhone 8 with an iPad power supply, for example, 12W. This is much faster than inductive charging and faster than normal charging via the included power supply. Plus, you do not have to spend a lot of money on a MacBook power adapter for the fast-charging function. In addition, I recommend that you buy a case for the phone, because the glass back is certainly very sensitive. The only big negative aspect of the iPhone eight is, in my opinion, that the battery could be better. In my opinion, this keeps much too short. All in all, it's a good smartphone. The shipping did not work well with me, although I had selected the premium shipping. The device took four days instead of three, but I think that this is not Amazon's fault, but Hermes. For example, if you ship your device through DHL, I do not need to worry about the product arriving too late.	1
iPhone 7 Plus	32GB	Black	Aharon Bensimon	5	iPhone 7 Plus 32GB	2018-11-03	us	It works I’m using it right now and love it	1
iPhone 6S Plus	128GB	Gold	Mu	5	Ras	2019-02-25	fr	Very well	1
iPhone 6S Plus	32GB	Space Grey	Michael Wenborn	5	Recommended.	2019-01-27	uk	The I phone is a great improvement on the Samsung I used to use.  Pleased with the fast delivery too.	1
iPhone 6S Plus	32GB	Gold	Ana Pinto	5	Perfect	2019-03-19	fr	Perfect	1
iPhone 8 Plus	64GB	Gold	Tel	5	Highly recommend	2018-12-15	uk	Great phone. Really pleased with it. Had it some months now and everything is brilliant. Great service too. Highly recommend.	1
iPhone XR	64GB	Red	Janine Seifert	1	Switch from Android to Iphone not possible	2019-02-06	de	Well, what can I say, I have a Sony Experia XZ Compact. I sat for almost two days now on the XR to transfer my data. It just can not be done even with this one Great transfer app, I get nothing from my Sony rueber.I will certainly not every single contact, apps ect. Manuel set up. Unfortunately it was an attempt that failed.	1
iPhone 7	32GB	Matt Black	Mauro	4	It works well but too limited compared to Android. Great photos.	2018-11-04	it	Product arrived in perfect condition. It's an iphone, for better or for worse: it does few things but very well. I purchased it for its size that was not too large compared to current smartphones. With ios 11 it still works well, but as with all my previous apple products in the short run it will make me slow. Excellent camera but system too closed and limited.	1
iPhone XS Max	256GB	Gray	Isabò	5	Rapidity and efficiency	2018-12-09	it	All excellent, produced, delivered a day in advance.	1
iPhone X	64GB	Space Gray	Amazon Kunde	5	from the iPhone 6 to the X	2018-03-21	de	Have changed from the iPhone 6 to X because I needed more memory and wanted a larger display. The iPhone X is the right phone if you need performance. It is compact and the new display can be operated very well. FaceID Works top.	1
iPhone XS Max	256GB	Gray	Nicola83	4	Nice, big and fast but expensive	2019-02-06	it	High-quality smartphones, Apple has integrated all the best of current technology to create a performing product in all aspects. The aesthetic is very elegant, as always Apple has accustomed us, the screen is the largest of all the other iPhone and the battery has a good duration. The screen has bright colors and the camera allows you to take high quality shots with various effects. The price is very high and I recommend the purchase to users who fully utilize its functions, alternatively Apple has released models such as iPhone XR which has almost equal XS pressure but at more moderate prices.	1
iPhone X	64GB	Space Gray	Ulrich Scheidweiler	5	Very nice IPHONE X	2019-06-14	de	Inexpensive than in the specialized trade only to be recommended	1
iPhone 8 Plus	256GB	Argent 	Yasmin bernieri	4	Great!!!	2018-12-03	it	Really a great buy !!! I highly recommend !!!!!	1
iPhone XS	64GB	Argent 	Jan	5	I phone XS	2019-02-26	de	After 3 months in use, I have to say ... everything is great, just like you're used to from Apple. Previously only had Samsung phones and now the i phone. Best decision I could make. Anyone may have any concerns when switching from android to iOSSuper provider fast delivery	1
iPhone X	64GB	Space Gray	Jon	5	Awesome.	2019-04-06	de	iPhone works great. Recommend the purchase.	1
iPhone 8	64GB	Gold	YINYUJING	4	Four Stars	2018-03-14	uk	It is good, but no any surprise compared with my previous IPhone 6.	1
