iPhone 7	32GB	Black	collet emma	2	iPhone	2018-05-22	fr	the camera before the iPhone does not work after two days I am extremely disappointed with the service and quality.	0
iPhone X	64GB	Space Gray	Ibolya Teutsch	1	Size disappointment	2018-12-04	de	I ordered an Apple Iphone x 64 GB and to my fright I got an Archos. That does not work .... I am really angry and disappointed ...	0
iPhone 7	128GB	Black	Andrea	3	just another iphone	2017-04-21	uk	Unlike the previous iphones the screen gets easily scratched in your pocket, the black coating makes the surface very slippery and the lack of the audio jack is simply dumb.Besides that, it's just another iphone, you buy it because you are used to the OS.	0
iPhone 7 Plus	32GB	Gold	Honeymoon1	4	To recommend!	2018-06-22	de	Hello, the phone arrived within 3-4 days! No damage, funktuniert everything! A star deduction, because after the 2nd day when I bought the phone has been more and more the price is reduced, which I think a pity because then I too saved.	0
iPhone XR	64GB	White	qlqn	3	received with defective	2019-05-24	fr	Well received, I was satisfied until I decided to take a video and realize that the sound was horrible, in plain words we heard nothing but a fluttering noise and pieces of words, I wait that I am sent another phone!	0
iPhone 8	64GB	Space Grey	Antonio	1	wifi chip is broken in most of these.	2018-01-31	uk	awful phone as nevers get on my selected wifi networks and always kicking me put. even at home. mental, never seen anything like it. wish i never dropped my i phone 6.	0
iPhone XR	64GB	White	Client d'Amazon	1	Do not buy on Amazon	2019-06-22	fr	phone changed 2x & always received with bugs	0
iPhone 6S	32GB	Rose Gold	Thomas Schappele	1	After a week broken	2019-07-02	de	After a week, the battery was extremely hot for no apparent reason. After that, the phone did not start anymore.	0
iPhone 8	64GB	Space Gray	ansich	1	relatively good product except for a limitation	2019-04-05	de	In principle, the device is perfect in almost all respects. However, there are two things that bother me enormously at this price. The speakers are the worst I've ever heard, they can play very loudly, but the sound quality is subterranean, the high notes are too overpresent and drown out the overall very thin sound spectrum, even the s9 felt more "bass" "2. The system performance leaves something to be desired. Noticeable in many situations are micro-stutters that should never exist at such a price.	0
iPhone 7	32GB	Black	Saida Bernhard	4	return	2018-09-30	de	The goods are returned immediately. That was wrong order. Sorry.	0
iPhone 6S	32GB	Space Gray	Carole zarka	1	iPhone 6S	2019-02-17	fr	My iPhone is brand new and yet it bug very oftenI wonder if it is not refurbished	0
iPhone 7	32GB	Gold	Optimus Grime	1	Scam	2017-12-24	uk	This was a scam!	0
iPhone 6S	128GB	Space Grey	Plutek	4	Fingerprint reader rubbish	2019-06-20	uk	I like it even when fingerprint reader is rubbish.	0
iPhone 7	128GB	Black	andrea hocke	1	The phone is not new	2018-11-24	de	Purchased cell phone in june. Nothing works now. Apple says the phone was bought in 2016 in the UK, so no warranty anymore. The battery was already exchanged before the purchase. That was a flop. Many Thanks!	0
iPhone X	256GB	Space Gray	Fraenky	1	Sorry, I was very hot !!!	2019-03-22	de	Did not buy the iPhone x here but at another provider. Unfortunately, I realized that my new iPhone has always become very hot. The battery then empties from 100% to empty within an hour. There were no apps or anything open during this time. It was from now on the same hot, have been buying other models for some time. But I did not know that problem. Often it was not even used when it got hot. Already sad for this price. My went back to the seller after a few days.	0
iPhone 7	128GB	Rose Gold	Miriam Gratelvus	3	Great product, but ghost seller.	2018-10-02	it	On the iPhone I have nothing to say, but unfortunately I told the seller that at the time of delivery I wanted the receipt for any problem and in any case a guarantee. The seller didn't send me anything, but after my reports he sent me a photo of a receipt with that price of course null. So on the product they send 5 stars because Apple has always been Excellence For me, while the ghost seller gives me practically a star. In fact I don't know how to balance the review. This time Amazon downloads the barrel to the seller who, as I have already said, is absent. So if you want to buy, take into account that despite the fact that by law there are two years of warranty, this product is only one year with Apple because the second year given by the seller does not exist. Fortunately I still had no problems.	0
iPhone 8	64GB	Space Gray	Client d'Amazon	2	view	2018-03-05	fr	This is my first iPhone bought three months agoSo there I was satisfied but I encountered a problem the front camera does not work anymore ... Damage to a smartphone "premimum"	0
iPhone XR	64GB	Black	Nick K.	2	Way too expensive	2019-05-13	de	Very bad display quality	0
iPhone XS Max	64GB	Space Grey	hussain	5	<3	2019-01-20	uk	Amazing phone. Delivery a slight issue. But happy.	0
iPhone 6S	16GB	Rose Gold	Libelle	1	Stay away from this provider.	2018-05-05	de	Sold by J.K.WalteriPhone was described as overhauled, visually and technically flawless. Actually, the iPhone looked visually very good even after delivery. Due to a display break, the device had to be repaired shortly afterwards. Hereby it turned out that a cheap battery was installed. Well, OKSchlimmer is, however, that the seal was completely missing. Furthermore, various screws were loose in the device, a screw was not tightened and slid inside the case back and forth, which would have led to prolonged use quickly to a board damage. My daughter found in the headphones a used chewing gum! All this was in the "general overhaul" ignored, speak it was dilettantisch worked, the main thing is optics.	0
iPhone 7	128GB	Black	Client d'Amazon	2	reclamation	2018-01-08	fr	I deplore the receipt of the product, in bubble wrap and a simple envelope, or and that box of origin, the explanatory note and the plug connection for the charge, not satisfied at all when we undertook to sell mobile even repackage we do it right ... thanks	0
iPhone 6S	16GB	Gold	RJ.	3	Well.	2016-06-06	de	The smartphone with signs of wear with the price of 469 euros is 100 euros too high. Slice from top left to bottom scratched and the back of a notch scratched. Would I see it before? Then not at this price. The item has nothing to look for on Amazon rather on eBay. Only there you would not get the 469 euros. Technically, nothing is off.	0
iPhone 7 Plus	128GB	Rose Gold	Amazon Customer	1	One Star	2017-06-13	uk	Bottom screen of iPhone not working. No sim card provided. Nice rip off and waste of time to return item.Congrats	0
iPhone XS	256GB	Gold	Pascal M	1	Battery low performance, prefer X instead of XS	2018-10-17	de	I switched from the X to the XS and was impressed by the performance and also by the camera, but I have less battery at the end of the day than with the iPhone X and am very frustrated because of that! Battery life possible to live long: location, background services, push etc. everything that helps disabled or reduced to the minimum. If I still want to use the cell in the evening lead the way on the charger is not over, that was different in the X, too bad! This is the first time I've resorted to an S upgrade and I would be very disappointed ... I've already thought about selling the XS and switching to an Xer ... but it probably boils down to me until the 11er iPhone downgrade the battery will accept	0
iPhone 7	32GB	Black	Azucena	1	"No me gustó,no lo volvería a comparar"	2019-05-13	us	Yo lo compré para regalo,y no se pudo activar,está bloqueado,no lo pueden desbloquear,según su proveedor,tienes que tener un año,de tenerlo activo para que seas legible a desbloqueo, como quién lo compro no duró el tiempo no lo pueden desbloquear.	0
iPhone 7 Plus	32GB	Black	Raquel T. Michelena	1	Unlocked is not unlocked. Don't buy this.	2018-12-21	us	I bought this phone as unlocked to work with different carriers when I travel. Today I have just received it and boom... The first thing it says is ""this phone must be activated on SIMPLE Mobile Service"" I'm not in the US. I'm in the Dominican Republic. This is a scam. It's not an unlocked clean IPhone.	0
iPhone 8	64GB	Space Gray	Laurent	2	Do not change much between 7	2018-01-16	fr	Do not change much between the 7 such bug on app-times (NEW PRODUCT) I since 10.01.18 we are the 16.01.18 I already have bug in few days	0
iPhone 7	32GB	Gold	Michelle	1	One Star	2017-07-13	us	This iphone is a locked sprint phone.	0
iPhone XS Max	64GB	Space Gray	Günter F. Zimmermann	2	Complicated	2019-05-18	de	After iPhone 5,6,7plus I wanted to do something special and bought the XSmax. Although the reviews were mostly good, I would not buy this device anymore. I find it extremely complicated and causes problems with the eternal passwords. I entered my password incorrectly when setting up and Apple locked the device for 2 weeks. When it was unlocked after 2 weeks the ID was changed and I could not do anything again. Unfortunately, the return period has passed through the long blocking period and I do not know at the moment how it should go on. Therefore my rating with only 2 stars	0
iPhone 6S	32GB	Rose Gold	Amazon Kunde	2	Battery broken after four months	2019-05-30	de	Unfortunately, the quality of Apple products has diminished. Have the phone in February d.J. bought u after not even four months, the battery is already broken. Too bad. Hope that Apple exchanges this for me on goodwill. But generally a problem with iPhone 6 u 6s seems to be.	0
iPhone 6S	64GB	Space Gray	Omid K.	1	Price ?!	2017-01-12	de	How can this smartphone cost € 750? This is much more expensive than the current iPhone 7! Even on the Apple website you get it MUCH cheaper!	0
iPhone 8 Plus	64GB	Space Gray	Amazon Kunde	5	Good experience	2019-05-10	de	I have used it for a year and I feel it’s really good.	0
iPhone XS	64GB	Gold	Gary B	1	Defective out of the box	2019-02-26	us	I purchased this xs to replace my 6 plus. Once I got it home, I noticed it would not hook up to cellular data. I also noticed that I had to swipe it two or three times or more to get it to open up. The facial recognition was very slow and sometimes wanted the pass code entered.  When I went to reset it, I couldn’t get it too shut down. It felt like the on off button was not connecting properly. Went back to the store, and the tech went through the same things I did with no success. They wanted me to go outside the store and try the cellular data. I did that with no success. It would make calls and text, but not send or receive photos or data.I decided right then and there, after using 2 hours of my time, I was going return this defective device. I need more reliable equipment for use in my business. I’m a pilot. After paying $1000 plus for it, I was disappointed. I will reactivate my 6 plus, which never let me down, and then consider all other options. They offered to replace the phone with a refurbished unit, or send it in for repair. But since it’s brand new, I can return it per the store policy. I Just don’t feel good about how this has worked out but definitely don’t want to keep this 10s.	0
iPhone X	64GB	Argent 	Quotenquote	1	Display is defective on all devices!	2018-04-11	de	on the upper side in the middle, is missing with each device a piece of display. In addition, the developers have forgotten the headphone jack probably in China	0
iPhone 6S	16GB	Rose Gold	AngelOFwar	1	Disgusting!	2016-08-11	it	They made fun of me for 3 weeks telling me that it had been sent, instead of admitting that they no longer had devices available, they suck, seriousness 0, too bad that you can't give 0 stars!	0
iPhone 7	32GB	Matte Black	Amazon Customer	1	iPhone = iDiot	2017-07-10	uk	My first (and last) iphone: a lot of money for the most overrated phone! Average hardware specs with very limiting (& spying) software. Buying this iPhone makes you really feel like an iDiot. If you are looking for quality without the (many) apple software limitations and extortionate price then do yourself a favor and buy an Android.	0
iPhone 7	128GB	Black	Client d'Amazon	4	Very professional	2018-12-26	fr	It's been almost a year that I have good product I am not disappointed. (the charger and headphones are not original) but hey it's not a problem for me	0
iPhone X	256GB	Argent 	Marsupilami	2	Totally behind the competition. Viewpoints that drive you crazy - I give up!	2018-11-28	de	Autumn 2018. After my iPhone 6S, I had painfully switched to a Galaxy S8 (got the S8 for free). Terrible conversion from iOS to Android. And yes, even after about 5 weeks now I'm still cursing now and then on Android. A step back to the 6s was no longer possible; I was used to the big OLED display of the S8. However, after I really go off some iPhone features, I recently got myself an iPhone X 256m. Comparable surface S8 and X. Both from 2018 BJ. Both OLED from the house Samsung.- S8 has the sharper display. You can see it. Despite all the "" from xy ppi one sees no difference .. "" BUT! Looks man.- S8 has the harsher colors (I do not like myself, here is the iPhone better) - S8 has the sharper camera with the harsher colors (not realistic, but sharper and brighter) .- S8 with Android is customizable, iOS Static is always static. For this, iOS always and everywhere runs with all compatible devices (eg in the car, on the hi-fi system, etc.) - ... etc. In principle, there are nuances and thus differences to be forgiven. The reason why I still hand over the iPhone X.- Prices / Performance is subterraneous compared to the S8- The viewing angles are quite stable in S8, the iPhone X discolored with minimal movement, the display so strong that it annoys me animal (pictures, etc. are simply distorted by the "" handling "". Here, the "" Farbadjustment "" does not help, it is the Blickwinkel.Und before anyone asks ... I have sent it and (today) get the "" repaired "" Phone with a new display (Therefore, today the unnerved review. Finally, have my proof before and after the repair.) Minimal improvement, a few tiny degrees more are now in. It is not enough Here, the S8 is so much better, and only costs 1/3 of the iPhone X. both phones side by side and moves the devices synchronously, you can see quite quickly the difference. What brings me the "" better "" Color / Brightness / ... Appearance of the iPhone X when the colors / presentation in the "handling" of the phone so deteriorate that it annoys you?! Apple, maybe the end of 2019 or the end of 2020 again. If any.	0
iPhone XS	256GB	Gray	M.	2	Well	2018-12-08	fr	I changed my iphone 6 by the XS. In my opinion, the technical characteristics are a bit below my expectations. Parcel simply deposited in the mail, considering the price is light, especially "delivered against signature" at the time of the order.	0
iPhone 6S	16GB	Space Gray	Kerstin Kames	1	Absolutes NO GO!!!	2017-10-23	de	One of the worst phones I had. Unfortunately we have to click on a star, at least, so we do it. In my opinion, the iPhone has earned GARKEINEN star !!! Through all the hiccup with the Apple ID and generally through Apple's administration, you get aggression and are just angry. It has entered everything correctly and yet it does not work at Apple.com .. I did not continue at all but the iPhone broke and disposed of directly. As you know, rubbish should be thrown away, that is to say done! I stay with the well-known and simple module, the samsung! :-)	0
iPhone XS	256GB	Gray	Patrick	1	Not working	2018-12-25	fr	Impeccable deliveryBut not work ... and we must fend for repair alone. For products like this there should be a replacement t of expected	0
iPhone 7	32GB	Black	SkyObe	2	Price not justified!	2019-06-09	de	The iPhone 3GS I had every model to the iPhone 7, this has now changed. The iPhone 7 is anything but a flagship, the integrated and non-expandable memory is heavily strained by APPLE's IOS, the more demanding will play Phone extremely warm, the Bluetoth quality reaches just mediocre. The camera is in comparison to other devices pure mediocrity and from the IPS 68 certification of the iPhone 7, Apple itself does not seem quite convinced (or why else the warranty committee?) My iPhone 7 (including the devices from my circle of acquaintances) were noticeable slower in the course of the last 7-10 months. About 5 months ago, I own a Nokia 8, which dominates the iPhone 7 in really all areas and only the half costs. Unfortunately no purchase Recommendation for Apple and the Iphone 7!	0
iPhone XS	64GB	Gray	Client d'Amazon	1	Having the right article is better ..	2018-12-08	fr	It could have been good except that the product is absolutely not the right article ....	0
iPhone X	64GB	Gray	Cliente Amazon	1	Very bad purchase	2018-04-15	it	I state that my review is based on the product and not on the seller. I bought this new iPhone, because I wanted something more, something new and different ... instead I found myself holding an iphone 7 plus, a little smaller ... with a camera that was the same but positioned differently and a horrible cleat (notch) in front of the display that basically turns everything you watch on the screen ugly. Non-expandable memory, no fast recharging and even IP68 certification to withstand water and dust, not to mention the fact that it is IMPOSSIBLE to transfer photos and other media to the PC, everything is slow and cumbersome and iTunes is really a slow and heavy program. Practically an old iPhone for a big change, which has only the price of change, twice the price of a normal iPhone, an absurd price and totally unjustified for what this phone really offers! Equal in all respects to the old models. To say that I am disappointed is an understatement ... I do not recommend the purchase, if you are looking for the wow effect, move on to the competition, which here is only the salty price.	0
iPhone 8 Plus	64GB	Space Gray	K. P.	2	Display zerkratzt	2018-11-11	de	I'm a big fan of Apple and have already had the iPhone 4, iPhone 6 and iPhone 7 in front of the iPhone 8 plus and was also very happy with it. But on the iPhone 8 plus display, I already have so many scratches although I'm just as good or poor as the predecessor treat. That's why I'm already thinking about whether I'll zulege again an older model. Apple Care replaced the display unfortunately only at break or another defect. Therefore, I give only 2 stars and they are almost too much ,	0
iPhone XS Max	64GB	Argent	Fremeaux Mickael	1	To flee !!	2018-12-27	fr	Phone supposedly new but already configured and Dutch !!! So already lit. And when we reset the phone we discover a remote access guided application. Which means they can handle the entire phone remotely. The worst thing is that the app does not work and the touch does not respond at all. The seller's answer (the phone is under warranty go to the nearest Apple Store) phone that is supposed to be new but has to go directly for repair. Seller to run away !!!	0
iPhone 7 Plus	32GB	Silver	Amazon Customer	1	Wrong item and no return!	2017-03-13	uk	I've got a wrong item and cannot make a return! Just can't download the return label and instructions!!!	0
iPhone XS	64GB	Space Gray	Franco	1	el iphone esta bloqueado	2019-03-23	us	compre un iphone xs don decia ""completamente desbloqueado"" y cuando lo recibi esta blouqeado. Nercesito una respuesta URGENTE!!!!	0
iPhone 7 Plus	32GB	Black	Larry99	1	Phone is not GSM unlocked	2018-12-18	us	This phone is not GSM unlocked as it says in the product heading. Please read the fine print in ""Features and Details"" where it states phone is carrier locked on SIMPLE Mobile. It will NOT work with your existing Sim from T-Mobile or any other carrier. Aside from that the phone was in pristine condition; too bad I had to send it back.	0
iPhone 7 Plus	32GB	Black	Kim McCamley	1	Wrong phone!!!	2017-12-20	uk	I received a Motorola instead of an iPhone. Would have given zero stars had that been an option.	0
iPhone XS Max	64GB	Argent	Stef	5	Portable (needlessly) expensive	2019-03-30	fr	Too expensive for what we get but good.Fé be sincere and say that we pay the mark and not features. Nice design but a bit fragile	0
iPhone 7	128GB	Matt Black	Michele R.	1	Absent seller	2018-08-23	it	After 1 year and little more than the order, the phone suddenly shows no signs of life. Contact the seller being still within the warranty time (2 years from law) impossible to contact the seller (euroglobal). I do not recommend ...	0
iPhone 8 Plus	64GB	Space Gray	kamal sefroun	1	Deplorable and lamentable delivery service	2018-08-14	fr	No comments because I keep a very bad experience on the delivery method.Du Blanc-Mesnil (delivery center); in Stains, it's 20 minutes by van.	0
iPhone XS Max	64GB	Space Gray	virgilio	1	Me llego bloqueado	2019-04-19	us	hola tengo un problema el iphone me llego bloqueado y en los comentarios decia que el iphone estaba liberado mundialmente asi que queria ver si el vendedor me podria ayudar a solucionar mi problema	0
iPhone 6S	64GB	Rose Gold	Christina Schmidhuber	1	iPhone nice, but does not work!	2016-04-30	de	I ordered the iPhone 6S, the iPhone arrived in great condition with me! However, I can not activate it? Have already phoned Apple for hours and no one can tell me what is wrong with this device. Original invoice was of course not there! I'm really angry!	0
iPhone 6S	16GB	Space Gray	Maximilian Hertl	1	Products were sent used and is now defective after a year !!	2018-04-12	de	Products have been sent used and is now defective after a year !! According to Apple Store, the device has already been opened. Beware of this device!	0
iPhone 7	32GB	Rose Gold	Yavor Christov	4	Great phone but no charger included	2018-02-23	uk	The phone is great however the description does not mention that phone will arrive with only USB cable and no charger. I have contacted the seller and just got response that this is what it is due to their business processes. Which is fair but misleading the customers is not and I pointed to them that they need to change the description of the product so that customer is aware there is no charger included when buying.	0
iPhone 8	64GB	Argent 	TheRock	1	No Thanks for patronizing iTunes 12.7 I prefer to go back to Android.	2017-12-30	de	Great device, handy, fast, solid ................ But, I do not allow this patronizing of iTunes, with 12.7 I can not even use my own mp3 as a ringtone ... Thanks, no, throttles the performance of your devices and "curbs" your customers with extremely overpriced devices.	0
iPhone 7	32GB	Black	H. Nadine	1	I can not recommend ... on the contrary!	2017-10-03	de	The iPhone is a nuisance: you can not charge at the same time and watch music or videos with headphones, because everything runs on the same access. If you want to shoot a longer video with external micro and has to recharge the battery or wants to use a power bank - bad luck! The transfer of mobile phone to PC does not work, you always have to use the iCloud, with many data you have to buy additional storage - a monthly amount I can not erase the backup of my old iPhone from the new iPhone, so it just shut off while filming. In addition, it is quickly hot when filming ... All in all, so just annoying, because you rely on the various software from Apple and this unfortunately only partially work. I really regret it very much to have bought. One plus: it looks very nice.	0
iPhone XR	64GB	Black	Ollivier	3	IMPROVEMENT IN	2019-02-09	fr	Arrival in time. Well packed. Corresponds totally to the description and to my expectations.EVER after 4 months the laptop must go to repair, it does not turn on for no apparent reason, I am disappointed in view of the price of this notebook I thought he would have a longer life. Hoping that this does not happen again.	0
iPhone 8 Plus	64GB	Space Gray	JEANNE Antoine	1	I received a SIMPLE iPhone 8!	2018-02-19	fr	Hello, I order an iPhone 8 Plus Gray sidereal and I get an iPhone 8 GOLD! A huge difference in price and a nice waste of time (2 weeks with the return and refund time) I'm totally amazed! (without word games with the phone's colors)	0
iPhone 6S	64GB	Rose Gold	Patrick Peter Schmidt	2	Too restrictive	2016-04-06	de	I bought the iPhone 6S because I am very satisfied with the iMac 5K. However, taking over my old files from the Samsung Galaxy S 5 did not work out at all! In the settings of the font, which is also very small, there are only 2 options. The smartphone is really good, if you always had Apple devices. In any case, Android's transition is paved with violent stumbling blocks. I would have wished that with such an expensive device a reasonable software to take over the files of Android devices is! That's why I gave the smartphone back. As I said, the smartphone is good, but these restrictive Apple speak for me currently against the iPhone. Maybe it manages so that Android smartphones are recognized on the iMac and there is a software for data synchronization between Android and Windows Phone devices.	0
iPhone XR	64GB	Coral	tactless (no tact)	2	"Too big, too thick, and too heavy."	2019-01-24	uk	⭐️ Screen — this actually looks fine. Visually, the phone is stunning 😍⭐️ Battery life — superb.The problem is the size and heft — It’s far too big and heavy.The front and back are glass.It's a very breakable glass sandwich!Swiping up from the bottom is very fluid — It’s buttery smooth and replicates what pressing the (missing) home button would do.Touch ID is still superior and more reliable than FaceID.	0
iPhone XS	64GB	Space Grey	Prashant	4	It’s iPhone	2018-11-23	uk	Brilliant phone! One star off for the little hyped price!!	0
iPhone 7	128GB	Gold	Client d'Amazon	1	Iphone fly and sold here	2019-01-27	fr	Phone was rented and then sold. So I was sold a phone steal?!?! The phone has been blocked by the owner and no longer receives a network. I bought it two years ago and that's only now that the problem has been reported.	0
iPhone 7	32GB	Black	Olga Zaherdoust	1	IPhone 7	2018-05-02	de	It was sent with a probably not new and also locked device. Fortunately, it was successfully exchanged for an unused smartphone, but a lot of nerves and time tasted.Lieber pay a bit more and buy in the shop !!!	0
iPhone X	64GB	Space Gray	Stef	1	BAD	2018-08-16	fr	I received both broken protections. Product return...	0
iPhone 7	32GB	Matte Black	Carl Whiteley	1	One Star	2018-06-14	uk	didnt work	0
iPhone 7 Plus	128GB	Rose Gold	lea	2	Bug on a new phone?	2019-05-31	fr	Since the purchase of this phone I note small annoying bug which leads me to wonder if the phone is new as shown on the advertisement!	0
iPhone 8	64GB	Space Gray	Michael Herting	2	Problems with the hardware	2019-05-07	de	Even Apple seems to weaken occasionally. So are currently devices from the production period of the middle of the year 2018 called back by the manufacturer. A defect on the motherboard was found. The result showed u.a. In the form of a "" frozen "" display or the separateness of the Touchscreens.Leider I had to give back in March bought IPhone 8 again. Not all devices were affected. On the homepage of Apple is listed in more detail. At least there can be seen (input the serial number) which device is affected. I can only rate the iPhone 8 with 2 stars, although I have always been satisfied with Apple devices. Shame!	0
iPhone 7	32GB	Matt Black	Sara c.	1	VOLATILIZED SELLER	2019-03-24	it	SELLER LOST IN ANYTHING. After a year the phone is no longer going. Legally I am entitled to a 24 month warranty ... but Digital Kingdom has disappeared into thin air. Untraceable. I strongly advise against it	0
iPhone XS	256GB	Gold	Abby	1	Ms	2019-06-26	uk	I got a second hand iphone xs, and I cannot activate it because of the previous owner' account, and I cannot ask for the return and refund on my order page!  Right now the phone is totally useless to me, and I spend so many money on it!	0
iPhone X	64GB	Space Gray	Samir T	1	Scam - no phone	2018-12-29	fr	Bought at Smart Tech Electronics, 100% scam, empty packaging with some kind of paste in it, no phone or accessories	0
iPhone X	256GB	Argent	Client d'Amazon	3	Watch out for the release dates of the apple	2019-02-11	fr	3 stars because the screen has some problems	0
iPhone 7	32GB	Matt Black	MARIO	3	Little clarity.	2017-08-18	it	Perfect iPhone. Announcement unclear, it was not specified that the warranty was European. I tried to call the seller several times, without receiving a reply.	0
iPhone 6S	32GB	Silver	A Habit of Ordering	1	simple	2019-03-16	us	Simply a phone for the black of course is pre paid	0
iPhone 7 Plus	32GB	Black	Wilson Ordonez-turcios	3	That the iphone is having issues with multi touch	2018-09-02	us	I didnt like that the screen wasn't from the apple company	0
iPhone 8	64GB	Gold	Amazon Customer	1	"The fone never worked properly from the start, then ..."	2018-01-20	uk	The fone never worked properly from the start, then it started clearing things it shuldnt have dun. I am in the possess of returning it.	0
iPhone X	256GB	Argent	Déçu	1	disappointed	2019-02-21	fr	The phone arrived in a cardboard in poor condition and we are certified that it is new when he was not even in blister! It's a scam	0
iPhone 8 Plus	64GB	Gold	Alena Weichert	1	A disappointment from Amazon.	2018-09-12	de	I have received the phone in an externally good condition. It should be an original product. Unfortunately it was not in perfect condition. After only 3 weeks it started to crash. Meanwhile, the music playback, the camera and the phone does not work properly. The use of the product is mainly problematic. I'm assuming that I have not received a new product. I bought the phone directly through Amazon to exclude just as disappointing ability. Unfortunately, I spent 900 ¬ for a broken product. Too bad.	0
iPhone 8 Plus	64GB	Argent 	Hdi	4	Technology	2019-03-17	fr	Excellent device only defect the volume too low in communication without the headphones	0
iPhone XR	128GB	Black	Manfred	4	Too clumsy but functional	2018-12-30	de	Although I had previously held the device in my hand, it is too big and too heavy for me. I would rather have bought the XS.	0
iPhone X	64GB	Gray	Cliente Amazon	1	Defective phone	2019-02-18	it	Battery not working	0
iPhone X	64GB	Space Grey	Amazon Customer	1	Poor battery life	2018-07-06	uk	I haven’t even had the phone for two weeks and the battery goes flat very quickly, I have contacted the seller to return the phone and they will not respond. I have contacted Apple who told me that I have to contact the seller, and amazon told me I have to contact apple. It’s very unfortunate this has happened with me and I do not want to keep the phone. It’s best to buy straight from Apple.	0
iPhone 7 Plus	128GB	Black	Alex :-))	2	Too much gap ensures hair loss, good performance but poor material quality	2017-05-09	de	The iPhone works very well and works flawlessly. What I noticed, however: -The display scratched very fast without foil, I have never had a slide on my iPhone displays and never had to detect as many scratches as with the iPhone 7 Plus. With such an expensive device, I would have expected more inconsistency.-When talking on the phone, you always rip off some hair. The gap where the display is installed with the housing is so large that hang in my phone while my hair. (Very annoying and painful)	0
iPhone XR	64GB	Red	Voxman	1	prepaid but locked to T-mobile?	2018-12-15	us	So at first glance I thought, great deal....750 for a XR. But I didn't read the fine print, its locked to one provider. Probably the stupidest idea, and might be illegal. So I returned it and bought a XR at my local Cellphone store. Buy it if you are a T-mobile customer....forever..	0
